lat,lon
42.00008,-80.84195
42.000153,-78.74701
42.000496,-79.24889
42.000782,-78.51062
42.00111,-78.27423
42.001114,-80.57645
42.00113,-78.03784
42.001392,-79.514404
42.001762,-80.310936
42.001778,-79.01251
42.001904,-79.779915
42.002026,-80.045425
42.00235,-80.87112
42.002754,-78.776115
42.003017,-79.278015
42.003426,-80.605606
42.003426,-78.53973
42.003788,-78.30333
42.003845,-78.06693
42.003872,-79.54353
42.004116,-80.34009
42.00434,-79.80905
42.00434,-79.041626
42.00442,-80.07457
42.004612,-80.900276
42.005352,-78.80523
42.00554,-79.307144
42.005733,-80.63476
42.00606,-78.56883
42.00635,-79.57266
42.006462,-78.33243
42.006466,-80.36924
42.006557,-78.09602
42.006775,-79.83819
42.006813,-80.103714
42.006874,-80.92944
42.006897,-79.07075
42.007946,-78.83434
42.008034,-80.66392
42.008053,-79.33627
42.008694,-78.59794
42.008812,-80.39839
42.00882,-79.6018
42.00913,-80.9586
42.009132,-78.36153
42.0092,-80.13286
42.009205,-79.867325
42.009266,-78.12512
42.00945,-79.09987
42.010334,-80.69308
42.010536,-78.86346
42.010563,-79.365395
42.01115,-80.42754
42.011288,-79.630936
42.011322,-78.627045
42.01138,-80.98777
42.01158,-80.16201
42.011627,-79.89647
42.0118,-78.39063
42.011967,-78.15422
42.011993,-79.12899
42.012627,-80.72224
42.013065,-79.39452
42.013123,-78.89258
42.013485,-80.456696
42.013752,-79.660065
42.013943,-78.65616
42.01396,-80.191154
42.01405,-79.92561
42.014458,-78.41974
42.014538,-79.15811
42.014668,-78.18332
42.01491,-80.7514
42.015568,-79.42366
42.0157,-78.92169
42.015816,-80.485855
42.01621,-79.68921
42.016335,-80.22031
42.016464,-79.95476
42.01656,-78.68527
42.017075,-79.18724
42.017113,-78.448845
42.017197,-80.78056
42.01736,-78.21242
42.018063,-79.45279
42.018143,-80.515015
42.018276,-78.95081
42.01866,-79.718346
42.018703,-80.24946
42.018875,-79.9839
42.019173,-78.714386
42.019474,-80.80973
42.019608,-79.21637
42.019764,-78.47795
42.020023,-78.00508
42.020046,-78.241516
42.020462,-80.544174
42.020554,-79.481926
42.020847,-78.979935
42.021065,-80.27861
42.02111,-79.74748
42.021282,-80.01305
42.021748,-80.8389
42.021782,-78.7435
42.022137,-79.24549
42.02241,-78.507065
42.02273,-78.27062
42.022747,-78.03418
42.02278,-80.57333
42.023037,-79.51106
42.023415,-79.009056
42.023422,-80.30777
42.023552,-79.77663
42.02368,-80.0422
42.024017,-80.868065
42.024387,-78.77262
42.02466,-79.27463
42.02505,-78.53617
42.025093,-80.60249
42.02541,-78.29973
42.025463,-78.06328
42.02552,-79.5402
42.02578,-80.33692
42.025974,-79.038185
42.025993,-79.80577
42.026077,-80.07135
42.026283,-80.89723
42.026985,-78.801735
42.02718,-79.30376
42.027397,-80.63166
42.027687,-78.565285
42.027996,-79.569336
42.028084,-78.328835
42.028126,-80.36608
42.028175,-78.09238
42.028427,-79.834915
42.02847,-80.100494
42.028534,-79.06731
42.02854,-80.9264
42.02958,-78.83086
42.029694,-79.332886
42.0297,-80.66082
42.03032,-78.5944
42.030468,-79.59847
42.03047,-80.39524
42.030754,-78.35794
42.030796,-80.955574
42.030857,-80.12965
42.030857,-79.86406
42.030884,-78.121475
42.031086,-79.096436
42.031998,-80.68999
42.03217,-78.85998
42.032204,-79.36202
42.03281,-80.4244
42.032936,-79.62762
42.032948,-78.62351
42.033047,-80.98475
42.03324,-80.158806
42.03328,-79.89321
42.03342,-78.38705
42.033585,-78.15058
42.03363,-79.125565
42.03429,-80.719154
42.034706,-79.39116
42.034756,-78.8891
42.03515,-80.45356
42.035397,-79.65675
42.035572,-78.65263
42.035618,-80.18796
42.0357,-79.922356
42.03608,-78.41616
42.036175,-79.15469
42.036285,-78.17969
42.03658,-80.74832
42.03721,-79.420296
42.037334,-78.91823
42.03748,-80.48272
42.037857,-79.6859
42.03799,-80.21712
42.038116,-79.95151
42.03819,-78.68175
42.03871,-79.18382
42.03874,-78.445274
42.038864,-80.7775
42.03898,-78.20879
42.039703,-79.44943
42.039803,-80.51189
42.03991,-78.94735
42.04031,-79.71504
42.04036,-80.24628
42.040527,-79.98066
42.040802,-78.71087
42.04114,-80.80666
